名前	文明	種族	パワー	コスト	進化	効果	トリガー
貝獣 カキール	1	190	4000	6		1	1	
幻想の魔手 カレイド	1	190	4000	5				
浅瀬の探索者 ランチュ	1	190	1000	4		1		
ゴルビィ・パーピー	1	24	3000	3		1		
メジャー・クラスター	1	26	2000	2				
貝獣 アリサ	1	190	1000	2				
泡星都市 バブラブル	1	0		3			1	
龍装者 ダグマ65号	2	194,189	4000	5				
両刃怪人ティボーン	2	43	4000	4				
骨刹医 リブ	2	189	4000	3		1		
爆撃男	2	48	1000	3				
獣面の銃弾	2	0		4			1	
改造治療院	2	0		3			1	
キバセン・チュリス	3	191,193	2000	2				
ヒゲ総理	3	188	3000	5				
カメライフ	3	188	2000	5				
”魔渋”チュリス	3	193	1000	5		6		
The タンタン漢	3	188	5000	4				
ボチボチ旦那	3	188	3000	4		6		
エナジー・チュリス	3	193	2000	2				
☡	3	654849865		3		7		
ガンガン音弾破	3	0		2			1	
ハサイサク	4	195	12000	9		5		
ぴーまんどりる	4	195	4000	4				
シェル・エイトレス	4	67	4000	4			1	
ヨゾラフワフワダケ	4	73	3000	3				
アップップ・タンク	4	195	2000	3				
タルタホル	4	195	1000	2				
マドウ・スクラム	4	0		4			1	
☆闇御伽の幼娘　ロリータ・アリス☆	2,4	88,89,126	2000	7		12		
☆闇御伽の黒兎娘　リエーヴル☆	2,4	88,89,126	6000	6		3,9,12		
☆闇御伽の帽子娘　マッドハッター☆	2,4	88,89,126	13000	4		5,12		
☆闇御伽の笑猫竜　チェシャ☆	2,4	39,75,174	3000	5		12	1	
☆Ｄの闇御伽　ワンダー・Ｄファンタシー・ワールド☆	2,4	0,187		5		12		
☆闇御伽の双娘　ダムディ☆	2,4	88,89,126	2000	2		12		
☆ネバーエンド・ティータイム☆	2,4	0		5		12		
☆運命の扉 ラストホープ☆	0	151	-	5				
☆最後の扉 Re：エバーホープ☆	0	150,147	15000	10		5		
熱血龍 シビル・ウォード	3	143	6000	7		3,6		
☆黙示聖霊エーリュシオン☆	0	11,20,97	5500	7			1	
☆静謐のラリマー☆	0,1	8	2000	3		1,12		
☆封殺のラブラドライト☆	0,1,2	8,85	4500	4		1,12		
☆導師の精霊龍　ホーマXⅡ☆	0,1	147,179	7500	7		1,3,12	2	
フロンティア・チャージャー	3	188,0		3		7		
☆紅騎士の少女　シャーナ☆	0,3	88,89,126	9500	7		3,12		
☆紅騎士の白帝龍☆	0,3	88,89,50	12500	9		3,12		
☆紅騎士の白炎将　ヘリオス☆	0,3	88,89,126	7500	6		1,3,12		
☆紅騎士の太陽狼　ハティガルム☆	0,3	88,89,126	2000	2		12		
☆黄昏の紅騎士　エルゼナス☆	0,3	88,89,126	7000	6		3,6,12		
☆緋術の紅騎士竜　シスネ☆	0,3	010,58,50	3500	5		1,12	1	
☆紅騎士の緋術書☆	3	0		3				
伝説の決闘者	3	58,124,188	15000	15		5,6	2	
ゴールデン・ザ・ジョニー	5	188	10000	7		3,6	2	
アクアン・メルカトール	1	28	2000	4				
ドラグシュート・チャージャー	3,4	0		7		7,12		
無双と竜機の伝説	3,4	0		7		12		
カラフル・ナスオ	4	78	1000	4				
無限銀河ジ・エンド・オブ・ユニバース	0	4	17000	7	8	5,19	2	
世紀末ゼンアク	0,1,2	101	17000	9		1,5,12		
暗黒邪眼皇ロマノフ・シーザー	2,3	50,44,89	13000	6	7	5,12,19		
第七神帝サハスラーラ	2	101,97	21000	10	8	3	2	
逆襲の支配者 ニュー・ディアボロス	0,1,2,3,4	105	23000	20		6,12,32	2	
超絶の名 シャーロック	0,2	120	23000	10		12,32		
「理想」の極 シャングリラ・エデン	5	12,125	17000	12	8	5	2	
神聖櫃 シューゲイズ	5	130	7000	7		3	2	
新・天命王 ネオエンド	0	147	14500	10		1,5	2	
奇跡の革命 ミラダンテf	0	147,155	13500	8	8	5		
ドルマゲドン・ビッグバン	2,3	0		9		12		
TOYザマス	5	188	3000	4				
☆龍素記号 Qd スペックシェル☆	1	142	5000+	8				
超Z級 ゲキシンオー	3	188	8000	9		3,6		
ヴァーニング・ヒーター	3	188	12000	10		5,6		
SMAPON	3	188	1000	7			1	
キャタピラ親方	3	188	5000	5		6		
メラメラ・ジョーカーズ	3	188,0		1				
オヴ・シディアDG	5	183	12000	8		5		
絶対の畏れ 防鎧	0	183	3500	3				
緑知銀 イーアル	0	183	1000	4			1	
奇石 マクーロ	0	183	1000	3				
エメスレム・ルミナリエ	0	0		7				
隻眼ノ裁キ	0	201,0		4			1	
☆F.D.H.F.☆	3	151	-	1				
☆熱血禁断 ドギンガムX☆	3	150	999	9				
サッヴァークDG	5	200,183	5000	6				
煌龍 サッヴァーク	0	205,183	11000	7		3		
最終兵ッキー	5	188	5000	5				
太陽の使い 琉瑠	0	183	11500	8		1,3		
偉大なる魔術師 コギリーザ	1	191,190	7000	6		3	2	
最高学府 インテリエイル	1	190	15000	11		5		
アラン・クレマン	2	191,189	8000	6		3	2	
阿修羅サソリムカデ	2	189	11000	8		1,3,9		
王盟合体 サンダイオー	3	188	9000	10		2,3,6		
”血煙” マキシマム	3	193	8000	8		3,6		
バードリアント	4	191,195	12000	7		5	2	
ジーク・ナハトファルター	4	195	18000	11		32		
超越の使い 蒼転	0	183	4500	4			2	
断罪スル雷面ノ裁キ	0	201,0		7				
浪費する者 シキゴイ	1	190	7000	7		3		
ソニック・Ⅳ・ワン	1	157	5000	5				
フレデリック・ショーイン	2	191,189	9000	8		3		
凶鬼04号 ビビム	2	189	7000	6		3		
ラッシュ”ATK”ワイルド	3	191,193	4000	4			2	
ニクジール・ブッシャー	3	188	6000	6		3		
マスティーカ・パンツァー	4	195	12000	7		5		
だいこんぐ	4	195	6000	6		3		
ラジコンBOY	5	188	3000	6			1	
ツドイノ裁徒	0	183,202	6500	6		3	2	
足跡の絡み 汰弧	0	183	5000	5				
龍装者 フィフス	0	194,183	4000	5			1	
暴輪ノ裁キ	0	201,0		5				
珠を放つ者 シャケックラ	1	190	6000	6		3		
シンカイガンガン	1	91	2000	5			2	
奇跡の旋風 トゲガニル	1	190	2000	4			1	
コネチカット・ヤンキー	2	189	6000	6		3		
七王の円卓	2	0		7				
凶鬼14号 ズス	2	189	2000	4			1	
バクソウ戦車 ラッシュ	3	191,193	5000	5			2	
ハロウェーイ	3	188	4000	6				
バング“BNG”ドンゴ	3	193	4000	5				
ガツン戦輪 ゲドライド	3	193	1000	2			1	
オニオン・リング	4	195	15000	8		5		
ムシムタマ	4	195	3000	4			1	
再生妖精スズラン	4	70	1000	2				
奇石 ブルーナ	0	191,183	4000	4			2	
奇石 サンローズ	0	183	3500	4				
セツナノ裁徒	0	183,202	3500	3				
青守銀 シャイン	0	183	2500	3			1	
命翼ノ裁キ	0	201,0		4				
クリスティナ・フォール	0	0		1				
貝獣 マジュガイ	1	191,190	2000	2			2	
南国別荘 クジハウス	1	190	2000	8			1	
蓄積された魔力 パーノレ	1	190	1000	3				
永遠の少女 ワカメチャ	1	190	1000	1		1		
覇王海賊船 キングシャーク	1	0		6				
凶鬼23号 アラクレ	2	191,189	3000	3			2	
集器医 ランプ	2	189	1000	5			1	
ヴェルンハルト・ヴェルテ	2	189	7000	4		3		
ディアブラ・リング	2	47	5000	3		1		
闇より来たりし魔導具	2	0		4			1	
ラッシュ・チュリス	3	191,193	2000	2			2	
ジャッジ・チュリス	3	193	4000	8			1	
”襲斗”戦車 ガランガ	3	193	5000	5				
ジャンプ・チュリス	3	193	7000	4		3		
サンタクロスケ	3	188	3000	4				
ヤッタレ総長	3	188	3000	3				
最終”罰怒”梵破	3	0		7				
ばーどりあん	4	191,195	3000	3			2	
コッツナ	4	195	12000	6			1	
ジュースダス・タンク	4	195	4000	4				
ゼクゼーミ	4	195	13000	4				
ヨギー・ベジタリバー	4	0		7				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
はずれポンの助	5	188	820	1				
奇石 メテオラ	0	183	5000	5				
色彩の頼り 雄敏	0	183	3500	5			1	
緑知銀 サムニダ	0	183	5000	4		1		
リンネノ裁徒	0	183,202	4000	3		1		
奇石 グリン	0	183	2000	3			2	
宣凶師ラゼンキ	0	13	2500	2				
キャスリンガ・メーザー	0	0		2			1	
漫遊の神官 マンボボ	1	190	4000	5		1		
龍装者 タルスーパ	1	194,190	3000	5			1	
シザー・ラヴ	1	24	4000	4				
貝獣 マキーガ	1	190	3000	4		1		
貝獣 タッカラ	1	190	2000	3			2	
貝獣 リガイト	1	190	1000	2				
オクトーパの相対性魔力講義	1	0		2			1	
龍装者 アブゾード	2	194,189	4000	5		9	1	
凶鬼43号 ドシュ	2	189	4000	4			2	
漆黒秘宝ジバッツ	2	46	3000	3				
瓶炎医 レバー	2	189	2000	3		1		
骨滴医 ホルモン	2	189	1000	3		9		
凶鬼38号 キリー	2	189	1000	2				
凶器の雨	2	0		5			1	
チキン・タッ太	3	188	5000	6		6		
龍装者 レイバーン	3	194,193	3000	5			1	
MR. SBATER	3	188	4000	4			2	
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
バグル・パズル	3	188	3000	3				
ナッコー・チュリス	3	193	1000	3		6		
酉年の炎上者 ポンティアック	3	124	2017	2				
おしゃかなクン	3	188	1000	2				
バッドドッグ・プレス	3	0		2			1	
龍装者 ルガリゴゴ	4	194,195	4000	5			1	
ボゴボゴウ	4	195	2000	4				
密林の冒険家キリン・トウェイン	4	72	4000	3				
とまとん	4	195	2000	3				
イモモシ	4	195	1000	3			2	
烈司の豪腕	4	75	1000	2				
デクロイド・デクノ	4	0		2			1	
サッヴァーク ～正義ノ裁キ～	0	205,183	11000	7		3		
マキシマム・ザ・ジョニー	5	188	10000	7		3,6		
魔凰 デ・スザーク	2	204,189	6000	8		3		
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
堕魔 ドゥザイコ	2	189,203	2000	2				
キング・ザ・スロットン	5	188	7777	7		3		
ジョット・ガン・ジョラゴン Joe	5	206	12000	9		5,6		
卍 デ・スザーク 卍	2	204,189	9000	8		3		
あたりポンの助	5	188	6000	6		3		
天ニ煌メク龍終ノ裁キ	5	201,0		7				
“龍装”チュリス	3	194,193	5000	5		6		
絶海の虎将 ティガウォック	1	190	6000	7		1,3		
凶鬼07号 ジャバランガ	2	189,41	6000	7		3		
ハインリヒ・ダーマルク	2	189	6000	6		3	2	
“乱振”舞神 G・W・D	3	193	5000	6		6	2	
スペリオル・シルキード	4	195	21000	10		32		
ジョジョジョ・マキシマム	5	188,0		9				
コンゴウノ裁徒	0	194,183,202	7500	7		3		
龍装艦 スペルエビート	1	190	5000	5		1		
針柩医 ゼントヨウ	2	189	4000	5				
堕魔 ヴォガイガ	2	189,203	4000	4				
ルネッザーンス	3	188	9000	10		3,6,29		
タマタンゴ・パンツァー	4	195	12000	8		5	1	
堕魔 ドゥポイズ	2	189,203	8000	2		3		
堕魔 ドゥシーザ	2	189,203	1000	2				
堕魔 グリギャン	2	189,203	2000	3		1		
堕魔 グリペイジ	2	189,203	2000	3				
堕魔 ドゥグラス	2	189,203	2000	2		1	1	
奇石 ミタラシオ	0	183	2000	2		1	1	
唸る鉄腕 ギリガザミ	1	190	2000	8			1	
撃髄医 スパイナー	2	189	2000	9			1	
凶鬼73号 バチチ	2	189	2000	6			1	
暗闇の裏闇市	2	0		4				
目玉坊ちゃんズ	3	188	3000	6			1	
デッドヒート・メガマックス	3	0		8				
ぱくちーたー	4	195	1000	3			1	
ソイルピンプ・キャベッジ	4	0		5				
夢のジョー星	5	188,0		5				
The ワンタン漢・チャージャー	5	188,0		3				
夜の青守銀 シャイン	0	183	2500	3		1	1	
剣参ノ裁キ	0	201,0		3				
夜の南国別荘 クジハウス	1	190	2000	7			1	
ウィザード・チャージャー	1	0		3				
夜の集器医 ランプ	2	189	1000	4			1	
マイケル・ギャンドル	2	189	3000	3				
夜のジャッジ・チュリス	3	193	1000	3			1	
ドクター Dr.	3	188	3000	6			1	
リブロッコ・タンク	4	195	12000	5		5		
夜のコッツナ	4	195	12000	4			1	
奇石 ルービク	0	183	1000	3				
蓄積する者 アルコウス	1	190	6000	8		1,3		
蓄積された魔力の渦	1	0		4			1	
花美師ハナコ	3	188	2000	2				
ペーパイロット	3	188	4000	4				
戌年の緑上者 ブルドッグ	3	124	2018					
シムーズス	4	195	3000	4				
デデカブラ	4	195	12000	1				
ボント・プラントボ	4	0		3				
グングン☆マグネットマン	3	188	3000	3				
ハヤテノ裁徒	0	183,202	1000	2				
☆明鏡止水 無月☆	1,4	191,132,88	2000	5		12,25	2	
☆光る！鳴る！DXなりきりセット　デュエルマスターの証(¥3980)☆	5	187,0		7			1	
☆偽りの王ドラグーン☆	2,3,4	112,120	15000+	10		5,12		
キングダム・オウ禍武斗/轟破天九十九語	4	195	14000	9/10		5,6		
轟破天九十九語/キングダム・オウ禍武斗	4	0		10/9				
☆白警機装ホワイト・ポリサー☆	1	23	2000	2				
☆補填機兵サンミング☆	1	23	1000	2				
☆超奇天烈 ガチコウテー☆	1	23,158,156	12000	7	8	5		
☆再誕機兵グレート・リバース/グレート・スパイラル☆	1	23	5000	7/10			1	
☆グレート・スパイラル/再誕機兵グレート・リバース☆	1	0		10/7			1	
☆運搬機装プライム・エッジ☆	1	23	2000	4				
☆襲撃機兵デンジャー・リム☆	1	23	3000	4				
☆革命機兵レヴォ・ストーム/機人の紋章☆	1	23,155	1000	3/7				
☆機人の紋章/革命機兵レヴォ・ストーム☆	1	0		7/3				
☆転送機装ワープ・ドライブ☆	1	23	1000	4				
☆機兵の裏ワザ メカオー・ゲット☆	1	23,0		4				
☆風翠剣の華巫女　サクラ☆	1,4	88,89,126	4000	6		12		
☆風翠剣の青年　ツバキ☆	1,4	88,89,126	13000	8		5,12		
☆風翠剣の域癒師　モミジ☆	1,4	88,89,126	6000	7		3,12		
☆風翠剣の華竜　リンドウ☆	1,4	35,66,75	4000	5		12	1	
☆風翠剣の舞☆	1,4	0		7		12	1	
☆風翠剣の浮遊石 クロユリ☆	1,4	1		4		12		
☆風翠剣の輝石　キキョウ☆	1,4	1		2		12		
ジョニー&ジョラゴン ～Jの意志～	5	188,205	12000	10		5,6		
☆聖命の守護者ハルト・エルオス☆	0	12	1000	3		1		
☆放逐のコスモオーラ☆	0,1	8	2500	3		1		
☆鎮圧のアクアオーラ☆	0,1	8	2500	3		1		
奇石 ミクセル/ジャミング・チャフ	0	183	2000	2/5				
ハザード・オウ禍武斗/禍武斗の轟印	4	195	14000	9/7		5,6		
ガンバトラーG7	5	188	7000	7		3,6		
シャダンQ	5	188	3000	6				
ジョバート・デ・ルーノ	5	188	1000	6			1	
ビックラボックス	5	188	4000	5				
ガンバG/ガガン・ガン・ガガン	5	188	6000	6/2		3		
キングダム・オウ禍武斗	4	195	14000	9		5,6		
リ・ハナッキ・パンツァー	4	195	12000	8		5,6		
さくらいおん	4	195	3000	5			1	
イチゴッチ・タンク/レッツ・ゴイチゴ	4	195	12000	7/2		5		
ナ・ハナキ・リー	4	195	12000	6		5		
キンチョーラー	3	188	4000	7			1	
鉄拳の構え 幻惚/テッケニア・スパーク	0	183	7000	7/4		3		
ジョット・ガン・ジョラゴン	5	188,205	11000	7		3,6	2	
ガヨウ神	5	188,192	4000	5				
龍装の悟り 天命/ヘブン・デ・エンドレーザ	0	194,183	7500	7/4		1,3		
超運命 アミダナスカ	0	183,192	7500	6		3		
龍装艦 ゴクガ・ロイザー	1	194,190	4000	6		1		
ビシャモンス・デーケン/「深淵より来たれ、魂よ」	2	189	4000	4/9				
無明夜叉羅ムカデ	2	189	8000	7		3	2	
勝利龍装 クラッシュ”覇道”	3	194,193	9000+	10		3,6		
アイアン・マンハッタン	3	188	8000	9		3,6		
ハイパー・ギガタック/ギガタック・ハイパー・トラップ	4	195	9000	6/8		3		
ボントボルト	4	195	16000	12		5,6		
出前百丁 チャル名人	5	188	4000	9				
星門の精霊アケルナル/スターゲイズ・ゲート	0	11	10500	9/5		1,3		
機術士ディール/「本日のラッキーナンバー!」	1	158	6000	6/3		3		
詠唱の担い手 ダイブアオ	1	190	7000	7		1,3		
龍装医 ルギヌス/地獄のゴッド・ハンド	2	194,189	11000	8/5		3	2	
堕魔 ヴォーミラ	2	189,203	4000	4				
カツラデランス/「アフロ行きま～す!!」	3	188	7000	7/2		3		
ツイン”LES”ポール/「ミュージック・スタァァァト!!!」	3	193	7000	6/3		3,6		
黒豆だんしゃく/白米男しゃく	4	195,192	12000	8/3		5		
トテントンタン	4	195	7000	6		3,6		
 S・マネーキ	1	25	4000	4				
暁の訪れ 集裏	0	191,183	7000	6		3	2	
ノヴァルティ・エントリオ	0	0		5			1	
暴走 ザバイク/ブンブン・バースト	3	157	3000	4/2		6		
無法地帯 マクラーゲン/無法警報PSY	1	190	11000	8/3		1,3		
魔法前線 ハリンセン	1	191,190	4000	4			2	
貝獣 ウーニ	1	190	3000	7			1	
ブレイン珊瑚の仙樹	1	0		8				
ルソー・モンテス/法と契約の秤	2	189	1000	2/5				
デビット・ガーター	2	191,189	6000	6		3	2	
採菌医 ウォンド	2	189	9000	7		3		
怨王の死鎌	2	0		5			1	
スニーク戦車 オーリー/トゲ玉・キャノンボール	3	193	1000	2/6			2	
”真友”チュリス	3	193	4000	6				
ゼロノ・スタッガー	4	195	8000	7		6	3	
龍装車 トメイテオ	4	194,195	12000	5		6		
オーロラ・ピカンチ	4	0		6			1	
フットンダ/ネルネ・ネルネルネ	5	188	2222	4/6				
満点ゼミナール	5	188	3000	5				
青守銀 ワッシェン	0	183	6000	6		3		
イカリノ裁徒	0	183,202	3500	3				
空間の守護者ジル・ハイク	0	12	2500	3				
グリングル・バインドル	0	0		6			1	
貝の理解者カチカッチン/サンキュー・ホタッテ	1	190	6000	6/4		3		
暴君 アーザラン/コザラン撹乱大混乱	1	190	3000	4/1				
貝獣 ホシカラ	1	190	6000	5		1		
ソエルボ・クロウラー	1	22	4000	3		1		
貝獣 ギューホ	1	190	2000	2				
連続魔導技術 ミタマ	1	0		5			1	
傀儡将ボルギーズ/ジェニコの知らない世界	2	41	4000	5/2				
マタドール・マルクーゼ	2	189	1000	2				
歯壊医 デント	2	189	5000	5		1	1	
堕魔 ヴァイシング	2	189,203	4000	5				
追憶人形ラビリピト	2	42	2000	4				
巡ル運命ノ裁キ	0	201,0 		3				
シンパンマン	3	191,188	4000	4				
龍装者 バルチュリス	3	194,193	4000	5		6		
リーリィ・ペロル	3	59	2000	3			2	
バッドドッグ・スクラッパー	3	0		6			1	
雪風妖精チャユニクス/スノー坊のパトロール	4	70	2000	2/4				
カ・ラークチ・タンク	4	195	5000	5				
仁王の超人	4	68	3000	4				
ワ・タンポーポ・タンク	4	195	2000	3		6		
スピッツ・チェリッシュ	4	0		3				
The 塩ラー漢	5	188	3000	4			1	
オッケーBros.	5	188	1000	2				
青守銀 ニプローハ/ニプローハ・アロー	0	183	4500	3/1		1		
ケジメノ裁徒	0	183,202	4000	4				
赤攻銀 シュクラン	0	183	3000	3				
電子の使徒バルアサッテ	0	10	2500	2				
奇石 マルボル	0	183	2000	2		1	1	
フェザン・ルーラー	0	0		5			1	
不滅ノ裁キ	0	201,0 		3				
貝獣 ゴマキ/突撃ゴッチン・ヘッド	1	190	3000	4		2		
貝獣 バタフー	1	190	4000	5		1		
海底歩き カグッツ	1	190	3000	3				
ディオネフィス	1	29	1000	2				
貪欲な若魔導士 ミノミー	1	190	1000	2				
生意気な衛兵 メダカ	1	190	1000	1		1	1	
六奇怪の一 ～還らぬ兵士～	1	0		4			1	
凶鬼96号 ガースー/黒光りの毒ガス	2	189	2000	3/1		9		
凶鬼69号 ホワチャ	2	189	4000	4		1		
凶鬼81号 オウテ	2	189	1000	4		9	1	
堕魔 グリディナ	2	189,203	3000	3				
臓裂虫テンタイク・ワーム	2	45	2000	2				
堕魔 ザンバリー	2	189,203	5000	1		1		
塵王の黒穴	2	0		3			1	
キリモミ・チュリス/キリモミ昇チュー拳	3	193	6000	6/1		3		
マントブ・チュリス	3	193	4000	5			1	
お邪魔菌トリオ	3	188	5000	4		6		
シリー隊長	3	188	3000	4				
アナーキ戦車 チーザー	3	193	3000	3				
”LES”のスパナ	3	53	2000	2				
ツリンボー・ファイアー	3	0		3			1	
ケタノッコ・タンク/ケタノビール・ランサー	4	195	13000	8/1		5		
シェル・フェイト	4	67	5000	4				
いのししとう	4	195	4000	4		6		
つくしーぷ	4	195	4000	3				
モースキモト	4	195	1000	3			1	
カカンナブ	4	195	1000	2				
フルール・ライフ	4	0		3			1	
ジョラゴン・ライジング	5	188	5000	6		6	2	
オウ禍武斗・ライジング	4	195	6000	6		3,6		
☆伝説の復活 ジェニライフ☆	1,2,4	42,70	1000	3		12		
☆ORDER LOAD JUSTICE☆	0,2	10,39,169	5500	6		1,12	1	
☆ORDER LOAD THE HANGED MAN☆	0,2	88,89,126	3500	3		1,12		
☆ORDER LOAD TEMPERANCE☆	0,2	88,89,126	5500	7		1,12		
☆ORDER LOAD THE DEVIL☆	0,2	88,89,126	8500	5		3,12		
☆ORDER LOAD THE TOWER☆	0,2	88,89,126	10500	7		1,3,12		
☆ORDER LOAD THE JUDGEMENT☆	0,2	88,89,126	2000	2		12		
☆ORDER LOAD THE SUN STAR and MOON STAR☆	0,2	0		6		12		
☆蒼錬禁師の少年　ディーオ☆	1,3	88,89,126	11000	7		3,6,12	2	
☆蒼錬禁師の師匠　ルチア☆	1,3	88,89,126	6000	8		3,6,12		
☆蒼錬禁竜　ネフシュタン☆	1,3	35,58,83	5000	5		1,12	1	
☆蒼錬禁の真獣　ルーン☆	1,3	88,89,126	4000	3		12		
☆蒼錬禁の仮魂　ホムンクルス☆	1,3	88,89,126	2000	2		12		
☆蒼錬禁術　スペルエッジ☆	1,3	0		5		12	1	
☆蒼錬禁にて大いなる業(マグヌム・オプス)☆	1,3	0		9		12		
卍 デ・ルパンサー 卍/葬爪	2	189,214	8000	8/2		3	2	
ストロング・ゲドー 卍	2	189,214	6000	6		1,3,9		
テン★カッツ	2	189,213	1000	3		9		
ハク★ヨン	2	189,213	2000	6		1	1	
堕魔 ヴォシンバ	2	189,203	3000	4				
堕魔 ドゥンブレ	2	189,203	2000	2				
堕魔 ドゥスン	2	189,203	1000	2				
メッチャ無敵なじーさん	3	215	5000	5		6		
☆卍デ・スカール卍/誰とでも拳で語り合える！☆	2	40,189,214	4000	8/2				
”轟轟轟”ブランド	3	193	9000	7		3,6		
卍月 ガ・リュザーク 卍/卍・獄・殺	2	204,189	11000	9/9		3	1	
キング・ザ・スロットン7/7777777	5	188	7777	7/3		3	1	
龍装の調べ 初不/ホーリー・スパーク	0	194,183	7500	6/6		1,3	1	
煌メク聖戦 絶十	0	183,202	4000	5				
超宮城 コーラリアン	1	190	8000	8		1,3		
龍装艦 チェンジザ/六奇怪の四 ～土を割る逆瀧～	1	194,190	6000	6/4		3	2	
龍装鬼 オブザ08号/終焉の開闢	2	194,189	8000	9/3		3		
ビックリーノ	2	189,192	5000	5			2	
ど・真ん中太郎	3	193,192	2000	2		2,29		
ナ・チュラルゴ・デンジャー/ナチュラル・トラップ	4	195,68	12000	7/6		5,6	1	
ドルツヴァイ・アステリオ	4	195	1000+	6		3,6		
帰還の精霊シュマヌマージ	0	11	10500	8		1,3		
奇石 トランキー/アイ・オブ・ザ・タイガー	0	183	6500	7/4		3		
遣宮使 ネオンクス/ネオ・ブレイン	1	190,99	9000	8/4		3	1	
地のぬし コイザムライ	1	190,192	1000	5				
デミブラム・ストーカー	2	189	9000	7		3	2	
マッド・デーモン閣下/デーモン・ハンド	2	189,41	5000	5/6			1	
龍装車 マグマジゴク/地獄スクラッパー	3	194,193	6000	7,7		3,6	1	
ワイルド・シールド・クライマックス	3	188	5000	6				
龍装者 ジスタジオ	4	194,195	15000	8		5		
オブラディ・ホーネット/「Let it Bee!」	4	195	5000	4/3		6		
フーセンの寅さん	5	188	1000	4				
奇石 シダース	0	191,183	6500	6		3	2	
久遠の戦い 蒸解	0	183	6000	6		1,3		
龍装者 シャイニー/エッジ・スパーク	0	194,183	5000	5/2		1	1	
遣宮艦 タマテガメ/時を御するブレイン	1	190	7000	7/4		1,3	1	
超宮兵 マノミ	1	190	4000	5				
歴史を語るブレイン	1	0		6				
整刑医 ルックス	2	189	5000	5				
凶鬼92号 デンカ/世紀末ハンド	2	189	3000	3/5			1	
堕魔 ドゥリケン	2	189,203	1000	2				
ムシ無視のんのん/灰になるほどヒート	3	188	4000	6/5			1	
バンバン戦車 バンチュー	3	193	2000	5				
サイコロプス	3	188	4000	4				
グレイト ”S－駆”	3	193	1000	1		6		
ベ・ラスカ・ス	4	195	6000	6		3,6		
マ・スクメーロ・タンク	4	195	8000	4		3		
ファビュラ・スネイル/ゴルチョップ・トラップ	4	195	3000	3/9			1	
ギギギのギタロー	5	188	3000	4				
波乗りザブンプル	5	188	3000	3				
ジョラゴン・リロード	5	188,0		1				
五導の並び 蓮多	0	183	5000	5				
百全の備え 品紅/モモンド・コール	0	183	3000	4/1				
赤攻銀 マブルーク	0	183	3000	3				
奇石 ウラナー	0	183	2000	3				
スパーク×スパーク	0	0		7			1	
貝獣 イカリヤ	1	191,190	4000	4			2	
貝獣 ラリア	1	190	2000	4		1		
貝獣 カイバシラ/コバシーラ・ポコポーコ	1	190	2000	3/2		2		
宮を守る者 メシタッコ	1	190	2000	2		1		
ブレイン×ブレイン	1	0		3			1	
堕魔 グリール	2	191,189,203	3000	3			2	
衰えの影ナイト・エルダー	2	39	8000	6		1		
マッ★カーツ/魔渇弓・冥	2	189,213	4000	4/3				
ハンド×ハンド	2	0		5			1	
ダイヤル戦車 キンゴーン	3	191,193	3000	3			2	
暴走 ザクルマ/「緊急発進だ!!」	3	157	5000	5/2		6		
ドンパッチおじさん	3	188	8000	4		3		
轟車 ”G－突”	3	193	4000	2		3		
スクラッパー×スクラッパー	3	0		4			1	
バニャーニャ・タンク	4	191,195	4000	3			2	
すももんが	4	195	2000	5			1	
アカシシーマ/レッド・アグラフ	4	195	4000	4/2		6		
ツクっちょ	4	195	3000	1		6		
トラップ×トラップ	4	0		3			1	
The ソー漢	5	188	1000	2				
雷撃の伝道師ソー	0	17	5500	5				
安息の喜び 慈拓	0	183	5000	5				
ケイビノ裁徒	0	183,202	4500	5		1		
審門の精霊アールフリート	0	11	3000	4		1	1	
青守銀 ノチェス	0	183	4500	3		1		
緑知銀 ターシェ	0	183	1000	2				
憤怒スル破面ノ裁キ	0	201,0		2				
サイバー・L・グランド	1	99	3000	6			1	
貝獣 アッカイ	1	190	5000	5		1		
偏執なる蓄財 メギロン	1	190	3000	4				
スプ・モーニ	1	30	3000	3				
歩く賄賂 コバンザ	1	190	1000	3				
時を戻す水時計	1	0		1			1	
堕魔 ヴァイプシュ	2	189,203	5000	5				
堕魔 ヴォビンゴ	2	189,203	4000	4				
カニ★ニカ	2	189,213	3000	4				
凶鬼53号 グルーグ	2	189	4000	2				
